name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"ST_ИНФ О ПОЛОЖЕНИИ ПЕДАЛИ СЦЕПЛ НЕДОСТУПНА","ET785","22204F","A","0","0","","7E0"
"ST_ИНФ О ПОЛОЖЕНИИ ПЕДАЛИ СЦЕПЛ ОТСУТСТВУЕТ","ET786","22204F","A","0","0","","7E0"
"ST_ИНФ О ПОЛОЖ ПЕДАЛИ ТОРМОЗА НЕДОСТУПНА","ET787","22204F","A","0","0","","7E0"
"ST_ИНФ О ПОЛОЖ ПЕДАЛИ ТОРМОЗА ОТСУТСТВУЕТ","ET788","22204F","A","0","0","","7E0"
"ST_ЗАМЕДЛ БЕЗ НАЖАТИЯ НА ПЕДАЛЬ ТОРМОЗА","ET789","22204F","A","0","0","","7E0"
"ST_РЕЗКОЕ ЗАМЕДЛ БЕЗ НАЖАТИЯ НА ПЕД ТОРМОЗА","ET790","22204F","A","0","0","","7E0"
"ST_ОТКЛ РЕГУЛЯТОРА СКОР ЭБУ СИСТЕМЫ ВПРЫСКА","ET791","22204F","A","0","0","","7E0"
"ST_ИНФ. О ТЕКУЩЕЙ СКОРОСТИ АВТ. НЕДОСТУПНА","ET793","22204E","A","0","0","","7E0"
"ST_ИНФ. ОБ ОТОБР. НА ЭКР. СКОР. АВТ. НЕДОСТ.","ET794","22204E","A","0","0","","7E0"
"ST_ИНФ О ТЕКУЩЕЙ СКОР АВТОМОБ ОТСУТСТВУЕТ","ET795","22204E","A","0","0","","7E0"
"ST_ИНФ О ВЫВ НА ЭКРАН СКОР АВТОМ ОТСУТ","ET796","22204E","A","0","0","","7E0"
"ST_СМЕНА ЕД. ИЗМЕРЕНИЯ СКОР АВТОМОБИЛЯ","ET797","22204E","A","0","0","","7E0"
"ST_ОТКЛ ОГРАНИЧ СКОР ЭБУ СИСТЕМЫ ВПРЫСКА","ET792","22204E","A","0","0","","7E0"
"ST_РУЧНОЙ ИЛИ АВТОМАТ. СТОЯНОЧНЫЙ ТОРМОЗ","ET732","22222B","A","0","0","","7E0"
"ST_ПЕРВЫЙ ЗАПУСК ДВИГАТЕЛЯ","ET760","222047","A","0","0","","7E0"
"ST_СОЕДИН РЕГ/ОГР СК ПОСЛЕ НАЖ ВЫКЛ РЕГ СК","ET727","22203B","A","0","0","","7E0"
"ST_СОЕДИН РЕГ/ОГР СК ПОСЛЕ НАЖ ВЫКЛ ОГР СК","ET728","22203E","A","0","0","","7E0"
"ST_РАЗРЕШ. СОЕД. РЕГУЛ./ОГРАНИЧИТ. СКОРОСТИ","ET832","22222F","{A:0}","0","0","","7E0"
"ST_ПОДКЛ ВЫКЛЮЧАТЕЛЯ СТОП-СИГНАЛА ПРОВОДАМИ","ET799","222026","A","0","0","","7E0"
"ST_ВЫКЛЮЧАТЕЛЬ РЕГУЛЯТОРА/ОГРАНИЧИТЕЛЯ СКОРОСТИ","ET703","22204B","A","0","0","","7E0"
"ST_ETAT PRIVE 2","ET091","22200E","A","0","0","","7E0"
"ST_РЕЗУЛЬТАТ ИСПЫТАНИЯ","ET101","222494","A","0","0","","7E0"
"ST_РЕЗУЛЬТАТ ТЕСТА","ET092","222493","A","0","0","","7E0"
"ST_ФУНКЦИЯ РЕГУЛЯТОРА/ОГРАНИЧИТЕЛЯ СКОРОСТИ","ET413","22204C","A","0","0","","7E0"
"ST_ЕДИНИЦА ИЗМЕРЕНИЯ СКОРОСТИ АВТОМОБИЛЯ","ET767","222051","A","0","0","","7E0"
"ST_ОТСЛ. ИНФ. О СКОР. АВТ. ОТ РЕГ/ОГР. СКОР","ET754","22204E","A","0","0","","7E0"
"ST_ОТСЛЕЖИВАНИЕ ИНФ. РЕГУЛЯТОРА СКОРОСТИ","ET753","22204F","A","0","0","","7E0"
"ST_ДВИГАТЕЛЬ","ET038","222010","A","0","0","","7E0"
"ST_ОБНАРУЖ. БЛОКИРОВКИ ПЕДАЛИ АКСЕЛЕРАТОРА","ET673","222036","A","0","0","","7E0"
"ST_ИНФОРМАЦИЯ О МИНИМАЛЬНОМ УРОВНЕ ТОПЛИВА","ET521","22281B","A","0","0","","7E0"
"ST_ЗАПРОС НИЗ.СКОР. ЭЛ/ВЕНТ. С ЭБУ ВПРЫСКА","ET813","22204A","A","0","0","","7E0"
"ST_ЗАПРОС ВЫС.СКОР.ЭЛ/ВЕНТ. С ЭБУ КОНД.","ET816","22204A","A","0","0","","7E0"
"ST_ОКОНЧ. ЗАПРОС ВЫС.СКОР.ЭЛ/ВЕНТИЛЯТОРА","ET820","22204A","A","0","0","","7E0"
"ST_СИНХРОНИЗАЦИЯ КОЛЕНЧАТОГО ВАЛА","ET837","222016","A","0","0","","7E0"
"ST_ЗАПРОС ВЫС.СКОР. ЭЛ/ВЕНТ. С ЭБУ ВПРЫСКА","ET814","22204A","A","0","0","","7E0"
"ST_ЗАПРОС НИЗ.СКОР.ЭЛ/ВЕНТ. С ЭБУ КОНД.","ET815","22204A","A","0","0","","7E0"
"ST_ЗАПРОС НИЗ.СКОР.ЭЛ/ВЕНТИЛЯТОРА С ЭБУ АКП","ET817","22204A","A","0","0","","7E0"
"ST_ЗАПРОС ВЫС.СКОР.ЭЛ/ВЕНТИЛЯТОРА С ЭБУ АКП","ET818","22204A","A","0","0","","7E0"
"ST_ОКОНЧ. ЗАПРОС НИЗ.СКОР.ЭЛ/ВЕНТИЛЯТОРА","ET819","22204A","A","0","0","","7E0"
"ST_СИГНАЛ ВМТ","ET771","222161","A","0","0","","7E0"
"ST_НАДЕЖНОСТЬ РАБОТЫ РЕГУЛЯТОРА СКОРОСТИ","ET763","22204D","A","0","0","","7E0"
"ST_РЕЗИСТОР ЗАЩИТЫ ОТ ВЫПАДЕНИЯ ПАРОВ МАСЛА","ET542","222188","A","0","0","","7E0"
"ST_ФАЗОРЕГ. РАСПР. ВАЛА ВПУСК. КЛАП.. ПРОГРАМ. Э/М КЛАП.","ET845","222241","A","0","0","","7E0"
"ST_ОТОБРАЖАЕМАЯ СКОРОСТЬ АВТОМОБИЛЯ","ET723","222226","A","0","0","","7E0"
"ST_МУЛЬТИПЛЕКСИР. ИНФОРМАЦИЯ О СКОРОСТИ АВТОМОБИЛЯ","ET724","222225","A","0","0","","7E0"
"ST_ПЕР ИНФ ПО МУЛ СЕТИ ОТ ДАТ ХОДА ПЕД СЦЕП","ET757","222222","A","0","0","","7E0"
"ST_ФУНКЦИЯ РЕГУЛЯТОРА СКОРОСТИ","LC166","22203A","A","0","0","","7E0"
"ST_ФУНКЦИЯ ОГРАНИЧИТЕЛЯ СКОРОСТИ","LC165","22203D","A","0","0","","7E0"
"ST_ВЫКЛЮЧАТЕЛЬ РЕГУЛЯТОРА/ОГРАНИЧИТЕЛЯ СКОРОСТИ","LC167","222041","A","0","0","","7E0"
