name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"ST_СОСТОЯНИЕ 24","ET532","2168","{F:2}","0","0","","745"
"ST_КНОПКА АВАРИЙНОЙ СИГНАЛИЗАЦИИ","ET085","2162","{A:6}","0","0","","745"
"ST_КАРТОЧКА ЗАРЕГИСТРИРОВАНА ДЛЯ АВТОМОБИЛЯ","ET542","2157","B","0","0","","745"
"ST_УПРАВЛЕНИЕ ЗВУКОВЫМ СИГНАЛОМ","ET626","2147","H","0","0","","745"
"ST_ETAT PRIVE 8","ET211","2157","{D:5}","0","0","","745"
"ST_ИДЕНТИФ КОДА ЭЛЕКТРОУСИЛ РУЛЕВОГО УПРАВЛ","ET572","215E","D","0","0","","745"
"ST_ТИП АВТОМОБИЛЯ","ET498","2159","AF","0","0","","745"
"ST_ОТД. МУЛЬТИПЛ. СЕТЬ ЦЭКБС - СТ/ПОДЪЕМНИКИ","ET602","2102","A","0","0","","745"
"ST_ОТД.МУЛЬТИПЛ.СЕТЬ СТ/ПОДЪЕМ. ДВ.ПАССАЖИРА","ET603","2102","B","0","0","","745"
"ST_ОТД.МУЛЬТИПЛ.СЕТЬ СТ/ПОДЪЕМ.ЗАД.ЛЕВ.ДВЕРИ","ET605","2102","C","0","0","","745"
"ST_ОТД.МУЛЬТИПЛ.СЕТЬ СТ/ПОДЪЕМ.ЗАД.ПР.ДВЕРИ","ET604","2102","D","0","0","","745"
"ST_РЕЛЕ "+" ПОТРЕБИТЕЛЕЙ ЭЛЕКТРОЭНЕРГИИ №°3","ET479","2168","{D:7}","0","0","","745"
"ST_РЕЛЕ "+" ПОТРЕБ. ЭЛЕКТРОЭНЕРГИИ №°1 и 2","ET478","2168","{D:6}","0","0","","745"
"ST_РЕЛЕ ВСПОМОГАТЕЛЬНОГО ОБОРУДОВАНИЯ № 2","ET582","2168","D","0","0","","745"
"ST_ИНФОРМАЦИЯ КЛАПАНА ЛЕВОГО ПЕРЕДН. КОЛЕСА","ET032","2174","K","0","0","","745"
"ST_ИНФОРМАЦИЯ КЛАПАНА ПРАВОГО ПЕРЕДН. КОЛЕСА","ET033","2174","J","0","0","","745"
"ST_ИНФОРМАЦИЯ КЛАПАНА ПРАВОГО ЗАДН. КОЛЕСА","ET034","2174","H","0","0","","745"
"ST_ИНФОРМАЦИЯ КЛАПАНА ЛЕВОГО ЗАДН. КОЛЕСА","ET035","2174","I","0","0","","745"
"ST_ЗАПРОС ОЧИСТИТЕЛЯ ЗАДНЕГО СТЕКЛА","ET080","215F","{B:1}","0","0","","745"
"ST_ЗАПРОС ЗАДНИХ ПРОТИВОТУМАННЫХ ФОНАРЕЙ","ET082","215F","{A:0}","0","0","","745"
"ST_ЗАПРОС ЛЕВОГО УКАЗАТЕЛЯ ПОВОРОТА","ET083","215F","{C:7}","0","0","","745"
"ST_ЗАПРОС ПРАВОГО УКАЗАТЕЛЯ ПОВОРОТА","ET084","215F","{B:0}","0","0","","745"
"ST_ЗАПРОС ПЕРЕДНИХ ПРОТИВОТУМАННЫХ ФАР","ET111","215F","{A:1}","0","0","","745"
"ST_ПОЛОЖ. КОЛЬЦА ПРЕР. РЕЖ. СТЕКЛООЧ.","ET096","215F","((B>2)&3)","0","0","","745"
"ST_ЦЭКБС - ПОДСОЕД.ДАТЧИКА ДОЖДЯ И ОСВЕЩЕНИЯ","ET608","2101","B","0","0","","745"
"ST_ETAT PRIVE 22","ET272","217A","A","0","0","","745"
"ST_ЦЭКБС - ВСТРЕЧНОЕ ПОДКЛЮЧЕНИЕ ДВИГАТЕЛЯ","ET609","2101","C","0","0","","745"
"ST_ПРЕДУПРЕЖДЕНИЕ О ТИПЕ ПОВТ. РЕГУЛИРОВКИ","ET624","217B","A","0","0","","745"
"ST_ETAT PRIVE 20","ET267","2150","{F:3}","0","0","","745"
"ST_СРАБАТ. СИГНАЛИЗ. ОТ КАПОТА","ET612","2147","{H:5}","0","0","","745"
"ST_ДАТЧИК НАЧАЛА ХОДА ПЕДАЛИ СЦЕПЛЕНИЯ","ET635","2167","{A:1}","0","0","","745"
"ST_КАПОТ","ET634","2147","{H:5}","0","0","","745"
"ST_КНОПКА ЗАПИР. НА ДВ. ВОД./ЗАД. ЛЕВ. ДВ.","ET468","215D","{B:3}","0","0","","745"
"ST_КНОПКА ЗАПИР. НА ДВ. ПАСС./ЗАД. ПР. ДВ.","ET613","215D","{B:1}","0","0","","745"
"ST_ФАЗА РАБОТЫ АВТОМОБИЛЯ","ET496","228003","(A&7)","0","0","","745"
"ST_ПРИЧИНА ОТКАЗА СРАБ. ЗАМКА РУЛ. КОЛОНКИ","ET497","228006","(A*256+B)","0","0","","745"
"ST_СВЕТ ДНЕВНОГО ДВИЖЕНИЯ","LC008","210A","B","0","0","","745"
"ST_ФАРЫ ДНЕВНОГО СВЕТА SCANDINAVIA","LC181","210A","{A:1}","0","0","","745"
"ST_ЗВ СИГНАЛИЗ ЗАПИР ЗАМКОВ ПРИ УДАЛ ОТ АВ","LC125","2150","{A:7}","0","0","","745"
"ST_СИГНАЛИЗАЦИЯ. УСТАНОВЛЕННАЯ ВПОСЛЕДСТВИИ","LC124","2136","{A:7}","0","0","","745"
"ST_ЧУВСТВИТЕЛЬНОСТЬ ДАТЧИКА ОСВЕЩЕННОСТИ","LC066","2125","{D:7}","0","0","","745"
"ST_ФУНКЦИЯ "СВОБОДНЫЕ РУКИ"","LC001","210B","{D:5}","0","0","","745"
"ST_ФУНКЦИЯ КОНТРОЛЯ ДАВЛЕНИЯ В ШИНАХ","LC017","2171","{A:7}","0","0","","745"
"ST_ТИП ВЕТРОВОГО СТЕКЛА","LC021","2125","((F>6)&3)","0","0","","745"
"ST_ФУНКЦИЯ КАРТОЧКИ "СЕРВИС"","LC016","2150","{G:2}","0","0","","745"
"ST_CONFIGURATION PRIVEE 3","LC131","2117","A","0","0","","745"
"ST_ТИП КОНДИЦИОНЕРА","LC013","2151","G","0","0","","745"
"ST_ТИП ДОСТУПА/СТАРТЕР","LC176","214D","A","0","0","","745"
"ST_БЛОКИРОВКА РУЛЕВОЙ КОЛОНКИ","LC198","210E","{E:1}","0","0","","745"
"ST_НОМЕР АНТЕННЫ ЗАПУСКА ДВИГАТЕЛЯ","LC199","2150","((G>3)&31)","0","0","","745"
